DIA_TRANSPORTE,"AMBA","MOTIVO_ATSF","GENERO","TIPO_TRANSPORTE",CANT_TRJ,"DATO_PRELIMINAR"
2024-01-01,"NO",,,"COLECTIVO",53590,"SI"
2024-01-01,"NO",,,"LANCHA",40,"SI"
2024-01-01,"NO",,,"SUBTE",0,"SI"
2024-01-01,"NO",,,"TOTAL",53630,"SI"
2024-01-01,"NO",,,"TREN",0,"SI"
2024-01-01,"NO",,"F","COLECTIVO",36904,"SI"
2024-01-01,"NO",,"F","LANCHA",123,"SI"
2024-01-01,"NO",,"F","SUBTE",0,"SI"
2024-01-01,"NO",,"F","TOTAL",37027,"SI"
2024-01-01,"NO",,"F","TREN",0,"SI"
2024-01-01,"NO",,"M","COLECTIVO",33416,"SI"
2024-01-01,"NO",,"M","LANCHA",150,"SI"
2024-01-01,"NO",,"M","SUBTE",0,"SI"
2024-01-01,"NO",,"M","TOTAL",33566,"SI"
2024-01-01,"NO",,"M","TREN",0,"SI"
2024-01-01,"NO",,"X","COLECTIVO",8,"SI"
2024-01-01,"NO",,"X","LANCHA",0,"SI"
2024-01-01,"NO",,"X","SUBTE",0,"SI"
2024-01-01,"NO",,"X","TOTAL",8,"SI"
2024-01-01,"NO",,"X","TREN",0,"SI"
2024-01-01,"NO","AUH","F","COLECTIVO",17086,"SI"
2024-01-01,"NO","AUH","F","LANCHA",29,"SI"
2024-01-01,"NO","AUH","F","SUBTE",0,"SI"
2024-01-01,"NO","AUH","F","TOTAL",17115,"SI"
2024-01-01,"NO","AUH","F","TREN",0,"SI"
2024-01-01,"NO","AUH","M","COLECTIVO",435,"SI"
2024-01-01,"NO","AUH","M","LANCHA",1,"SI"
2024-01-01,"NO","AUH","M","SUBTE",0,"SI"
2024-01-01,"NO","AUH","M","TOTAL",436,"SI"
2024-01-01,"NO","AUH","M","TREN",0,"SI"
2024-01-01,"NO","JUBILACION","F","COLECTIVO",15708,"SI"
2024-01-01,"NO","JUBILACION","F","LANCHA",29,"SI"
2024-01-01,"NO","JUBILACION","F","SUBTE",0,"SI"
2024-01-01,"NO","JUBILACION","F","TOTAL",15737,"SI"
2024-01-01,"NO","JUBILACION","F","TREN",0,"SI"
2024-01-01,"NO","JUBILACION","M","COLECTIVO",7580,"SI"
2024-01-01,"NO","JUBILACION","M","LANCHA",17,"SI"
2024-01-01,"NO","JUBILACION","M","SUBTE",0,"SI"
2024-01-01,"NO","JUBILACION","M","TOTAL",7597,"SI"
2024-01-01,"NO","JUBILACION","M","TREN",0,"SI"
2024-01-01,"NO","MONOTRIBUTO SOCIAL","F","COLECTIVO",2486,"SI"
